iata,icao,name,country,latitude,longitude,altitude,continent
LCG,LECO,A Coruna Airport,Spain,43.302059,-8.37725,326,Europe
AAH,EDKA,Aachen Merzbruck Airport,Germany,50.821899,6.184759,626,Europe
AAL,EKYT,Aalborg Airport,Denmark,57.095112,9.855172,3,Europe
AAR,EKAH,Aarhus Airport,Denmark,56.303295,10.619129,71,Europe
QEA,EKAC,Aarhus Sea Airport,Denmark,56.151993,10.247725,1,Europe
JEG,BGAA,Aasiaat Airport,Greenland,68.72184,-52.784698,74,America
ABD,OIAA,Abadan Airport,Iran,30.371111,48.228329,19,Asia
ABA,UNAA,Abakan International Airport,Russia,53.740002,91.385002,831,Asia
YXX,CYXX,Abbotsford International Airport,Canada,49.025269,-122.360001,195,America
AEA,NGTB,Abemama Airport,Kiribati,0.490833,173.828598,8,Pacific
ABZ,EGPD,Aberdeen International Airport,United Kingdom,57.201939,-2.19777,215,Europe
ABR,KABR,Aberdeen Regional Airport,United States,45.439999,-98.419998,1302,America
AHB,OEAB,Abha Regional Airport,Saudi Arabia,18.24036,42.65662,6858,Asia
ABJ,DIAP,Abidjan Port Bouet Airport,Ivory Coast,5.261386,-3.92629,21,Africa
ABI,KABI,Abilene Regional Airport,United States,32.411301,-99.681801,1790,America
VJI,KVJI,Abingdon Virginia Highlands Airport,United States,36.686111,-82.033333,2088,America
AZI,OMAD,Abu Dhabi Al Bateen Executive Airport,United Arab Emirates,24.428329,54.45808,16,Asia
DHF,OMAM,Abu Dhabi Al Dhafra Air Base,United Arab Emirates,24.248199,54.547699,77,Asia
AUH,OMAA,Abu Dhabi Zayed International Airport,United Arab Emirates,24.442856,54.651474,62,Asia
AEU,OIBA,Abu Musa Island Airport,Iran,25.8757,55.033001,23,Asia
ABS,HEBL,Abu Simbel Airport,Egypt,22.37595,31.611719,616,Africa
ABV,DNAA,Abuja Nnamdi Azikiwe International Airport,Nigeria,9.006792,7.263172,1123,Africa
ACA,MMAA,Acapulco International Airport,Mexico,16.757059,-99.753899,16,America
ACC,DGAA,Accra Kotoka International Airport,Ghana,5.605186,-0.16678,205,Africa
ADT,KADH,Ada Municipal Airport,United States,34.804298,-96.671303,1016,America
ADK,PADK,Adak Airport,United States,51.87796,-176.645996,18,America
AIP,VIAX,Adampur Airport,India,31.433056,75.760559,776,Asia
UAB,LTAG,Adana Incirlik Airport,Turkey,37.001099,35.424721,198,Europe
ADA,LTAF,Adana Sakirpasa Airport,Turkey,36.982159,35.28038,65,Europe
ADD,HAAB,Addis Ababa Bole Airport,Ethiopia,8.977889,38.799309,7656,Africa
ADL,YPAD,Adelaide Airport,Australia,-34.947392,138.533417,15,Australia
QBP,YPPF,Adelaide Parafield Airport,Australia,-34.793682,138.635376,44,Australia
ADE,OYAA,Aden International Airport,Yemen,12.82954,45.02879,7,Asia
ADF,LTCP,Adiyaman Airport,Turkey,37.731361,38.468929,2216,Europe
AZR,DAUA,Adrar Airport,Algeria,27.83758,-0.18641,919,Africa
ADG,KADG,Adrian Lenawee County Airport,United States,41.86607,-84.078293,798,America
AFO,KAFO,Afton Municipal Airport,United States,42.711201,-110.942001,6221,America
AJY,DRZA,Agades Mano Dayak International Airport,Niger,16.96599,8.000114,1657,Africa
AGA,GMAD,Agadir Al Massira Airport,Morocco,30.324989,-9.41306,250,Africa
IXA,VEAT,Agartala Airport,India,23.886971,91.240448,46,Asia
AGX,VOAT,Agatti Airport,India,10.82365,72.176041,14,Asia
AGF,LFBA,Agen La Garenne Airport,France,44.174709,0.590619,204,Europe
AKW,OIAG,Aghajari Airport,Iran,30.7444,49.6772,88,Asia
AGR,VIAG,Agra Airport,India,27.15583,77.960892,551,Asia
AJI,LTCO,Agri Airport,Turkey,39.65456,43.027149,5462,Europe
GGB,SWHP,Agua Boa Airport,Brazil,-14.019444,-52.152222,1506,America
HAY,SKAG,Aguachica Hacaritama Airport,Colombia,8.246203,-73.579628,531,America
BQN,TJBQ,Aguadilla Rafael Hernandez Airport,Puerto Rico,18.49486,-67.129402,237,America
AGU,MMAS,Aguascalientes International Airport,Mexico,21.705549,-102.317001,6112,America
AHE,NTHE,Ahe Airport,French Polynesia,-14.42759,-146.255981,11,Pacific
AMD,VAAH,Ahmedabad International Airport,India,23.07724,72.634651,189,Asia
